"clube","atleta","tipo_de_gol"
"Juventude","Bruno Nazário","Regular"
"Santos","Lucas Braga Ribeiro","Regular"
"Flamengo","Everton Cebolinha","Regular"
"Fortaleza","Thiago Galhardo","Regular"
"America-MG","Wellington Paulista","Penalti"
"Fortaleza","Thiago Galhardo","Regular"
"Ceara","Jô","Regular"
"Cuiaba","Deyverson","Regular"
"Juventude","Óscar Ruiz","Regular"
"Atletico-GO","Wellington Rato","Regular"
"Internacional","Braian Romero","Regular"
"Fluminense","David Braz","Regular"
"Fluminense","Matheus Martinelli","Regular"
"Fluminense","Germán Cano","Regular"
"Athletico-PR","Alex Paulo Menezes Santana","Regular"
"Santos","Ângelo Gabriel","Regular"
"Santos","Guilherme Camacho","Regular"
"Coritiba","Matheus Cadorini","Regular"
"Sao Paulo","Jonathan Calleri","Regular"
"Sao Paulo","Jonathan Calleri","Regular"
"Sao Paulo","Luciano da Rocha Neves","Regular"
"Bragantino","Luan Cândido","Regular"
"Bragantino","Eric dos Santos Rodrigues","Regular"
"Athletico-PR","Vitor Bueno","Regular"
"Bragantino","Werik Popó","Regular"
"Athletico-PR","Vitor Hugo Naum dos Santos","Regular"
"Bragantino","Luan Cândido","Regular"
"Flamengo","Matheus França","Regular"
"Flamengo","Everton Cebolinha","Regular"
"America-MG","Everaldo","Regular"
"Corinthians","Róger Guedes","Regular"
"Palmeiras","Vanderlan","Regular"
"Palmeiras","Gustavo Scarpa","Penalti"
"Palmeiras","Eduardo Pereira Rodrigues","Regular"
"Juventude","Capixaba","Regular"
"Sao Paulo","Reinaldo Manoel da Silva","Regular"
"Sao Paulo","Reinaldo Manoel da Silva","Regular"
"Fluminense","Matheus Martins","Regular"
"Botafogo-RJ","Carlos Eduardo de Oliveira Alves","Regular"
"Fluminense","Paulo Henrique Ganso","Penalti"
"Botafogo-RJ","Jeffinho","Regular"
"Atletico-GO","Lucas Gazal","Regular"
"Goias","Vinícius Santos Silva","Regular"
"Cuiaba","Deyverson","Regular"
"Goias","Pedro Raúl","Regular"
"Internacional","Vitão","Regular"
"Coritiba","Luciano Castán","Regular"
"Santos","Alex","Regular"
"Flamengo","Pedro","Regular"
"Santos","Gabriel Carabajal","Regular"
"Flamengo","Mário Sérgio Santos Costa","Regular"
"Flamengo","Giorgian De Arrascaeta","Regular"
"Palmeiras","Endrick","Regular"
"Palmeiras","Gustavo Gómez","Regular"
"Athletico-PR","Matheus Felipe Santos Nascimento","Regular"
"Palmeiras","Endrick","Regular"
"Bragantino","Luan Cândido","Regular"
"Botafogo-RJ","Gabriel Appelt Pires","Regular"
"Botafogo-RJ","Danilo Neves","Regular"
"Ceara","Lima","Penalti"
"Internacional","Edenílson Andrade dos Santos","Regular"
"Internacional","Alan Patrick","Penalti"
"Goias","Vinícius Santos Silva","Regular"
"Goias","Diego","Regular"
"America-MG","Aloísio dos Santos Gonçalves","Penalti"
"America-MG","Wellington Paulista","Regular"
"Fluminense","Germán Cano","Regular"
"Fluminense","Germán Cano","Regular"
"Fortaleza","Juninho Capixaba","Regular"
"Fortaleza","Romarinho","Regular"
"Coritiba","Matheus Cadorini","Regular"
"Fortaleza","Juninho Capixaba","Regular"
"Sao Paulo","Luan Vinícius da Silva Santos","Regular"
"Atletico-GO","Gabriel Baralhas","Regular"
"Sao Paulo","Jonathan Calleri","Regular"
"Atletico-MG","José Rodolfo Pires Ribeiro","Regular"
"Cuiaba","Pepê","Regular"
"Fluminense","Germán Cano","Regular"
"Cuiaba","André Luis","Regular"
"Cuiaba","Deyverson","Regular"
"Sao Paulo","Jonathan Calleri","Regular"
"Atletico-MG","Eduardo Vargas","Regular"
"Atletico-MG","Eduardo Vargas","Penalti"
"Sao Paulo","Jonathan Calleri","Regular"
"Goias","Yan Souto","Regular"
"Goias","Pedro Raúl","Regular"
"Athletico-PR","David Terans","Regular"
"Athletico-PR","Alex Paulo Menezes Santana","Regular"
"Athletico-PR","David Terans","Penalti"
"America-MG","Alexandre Egea","Regular"
"Santos","Marcos Leonardo Santos Almeida","Regular"
"Santos","Lucas Braga Ribeiro","Regular"
"Atletico-GO","Diego Churín","Regular"
"Santos","Lucas Barbosa","Regular"
"Atletico-GO","Luiz Fernando Moraes dos Santos","Regular"
"Coritiba","Régis","Regular"
"Bragantino","Artur Victor Guimarães","Regular"
"Avai","Kevin Peterson dos Santos Silva","Penalti"
"Bragantino","Hélio Junio Nunes de Castro","Regular"
"Corinthians","Du Queiroz","Regular"
"Corinthians","Yuri Alberto","Regular"
"Flamengo","Matheus França","Regular"
"Palmeiras","Rony","Regular"
"Palmeiras","Eduardo Pereira Rodrigues","Regular"
"Palmeiras","Endrick","Regular"
"Palmeiras","Rony","Regular"
"Fluminense","Germán Cano","Regular"
"Fluminense","Germán Cano","Regular"
"Sao Paulo","Luciano da Rocha Neves","Regular"
"Fluminense","Germán Cano","Regular"
"Santos","Marcos Leonardo Santos Almeida","Penalti"
"Avai","Raniele","Regular"
"America-MG","Juninho","Regular"
"America-MG","Henrique Almeida","Regular"
"Bragantino","Luan Cândido","Penalti"
"America-MG","Juninho","Regular"
"America-MG","Everaldo","Penalti"
"Goias","Nicolas Godinho Johann","Regular"
"Corinthians","Yuri Alberto","Regular"
"Internacional","Pedro Henrique Konzen","Regular"
"Internacional","Maurício","Regular"
"Fortaleza","Rómulo Otero","Regular"
"Atletico-GO","Luiz Fernando Moraes dos Santos","Regular"
"Coritiba","Alef Manga","Penalti"
"Cuiaba","Jonathan Cafú","Regular"
"Palmeiras","José Manuel Alberto López","Regular"
"Botafogo-RJ","João Victor Santos Sá","Regular"
"Botafogo-RJ","Francisco Soares","Regular"
"Internacional","Maurício","Regular"
"Fluminense","Germán Cano","Regular"
"Fluminense","Alan Carvalho","Regular"
"Fluminense","Michel Araújo","Regular"
"Coritiba","Alef Manga","Regular"
"Coritiba","Alef Manga","Penalti"
"Corinthians","Du Queiroz","Regular"
"Corinthians","Yuri Alberto","Regular"
"Avai","Mateus Ferreira","Regular"
"Avai","Natanael","Regular"
"Fortaleza","Silvio Romero","Regular"
"Fortaleza","José Welison","Regular"
"Fortaleza","Thiago Galhardo","Regular"
"Fortaleza","Hércules","Regular"
"Fortaleza","Pedro Rocha Neves","Penalti"
"Fortaleza","Silvio Romero","Regular"
"Atletico-GO","Shaylon","Regular"
"Athletico-PR","David Terans","Regular"
"Flamengo","Matheuzinho","Regular"
"Flamengo","Werton","Regular"
"Juventude","Paulo","Regular"
"Juventude","Jadson","Regular"
"Palmeiras","Murilo Cerqueira","Regular"
"America-MG","Martín Benítez","Regular"
"Palmeiras","Gustavo Scarpa","Penalti"
"Atletico-MG","Keno","Regular"
"Atletico-MG","Keno","Regular"
"Atletico-MG","Eduardo Vargas","Regular"
"Botafogo-RJ","Francisco Soares","Regular"
"Botafogo-RJ","Lucas Fernandes da Silva","Regular"
"Botafogo-RJ","Lucas Fernandes da Silva","Regular"
"Avai","Marcio Antonio de Sousa Junior","Regular"
"Avai","Felipe Florencio da Silva","Regular"
"Flamengo","Wellington Ferreira Nascimento","Contra"
"Athletico-PR","Vitor Roque","Regular"
"Athletico-PR","Adryelson","Contra"
"Athletico-PR","Erick Luis Conrado Carvalho","Regular"
"Ceara","Vitor Mendes","Contra"
"Ceara","Cléber","Regular"
"Ceara","Erick","Penalti"
"Ceara","Fernando Sobral","Regular"
"Juventude","Guilherme Parede","Regular"
"Atletico-GO","Dudu","Regular"
"America-MG","Henrique Almeida","Regular"
"Fortaleza","Thiago Galhardo","Regular"
"Fortaleza","Moisés Vieira da Veiga","Regular"
"Cuiaba","Jonathan Cafú","Regular"
"Coritiba","Léo Gamalho","Regular"
"Cuiaba","Alan Empereur","Regular"
"Fluminense","Germán Cano","Regular"
"Atletico-MG","Eduardo Vargas","Penalti"
"Internacional","Alexandre Alemão","Regular"
"Internacional","Braian Romero","Regular"
"Internacional","Maurício","Regular"
"Sao Paulo","Marcos Guilherme","Regular"
"Sao Paulo","Juan Santos da Silva","Regular"
"Sao Paulo","Giuliano Galoppo","Regular"
"Sao Paulo","Luciano da Rocha Neves","Regular"
"Cuiaba","Raniele","Regular"
"Palmeiras","Endrick","Regular"
"Palmeiras","José Manuel Alberto López","Regular"
"Fluminense","Germán Cano","Regular"
"Fluminense","John Kennedy","Regular"
"Fluminense","Leanderson da Silva Genésio","Regular"
"Bragantino","Eduardo Sasha","Regular"
"Bahia","Everaldo Stum","Regular"
"Bragantino","Bruno Gonçalves","Regular"
"Athletico-PR","Pedro Henrique Ribeiro Gonçalves","Regular"
"Athletico-PR","Christian Roberto Alves Cardoso","Regular"
"Fortaleza","Moisés Vieira da Veiga","Regular"
"Internacional","Wanderson","Regular"
"Botafogo-RJ","Tiquinho Soares","Regular"
"Botafogo-RJ","Carlos Eduardo de Oliveira Alves","Regular"
"Sao Paulo","Jonathan Calleri","Regular"
"Vasco","Gabriel Pec","Regular"
"Atletico-MG","Mauricio Lemos","Regular"
"Vasco","Andrey Santos","Regular"
"Flamengo","Ayrton Lucas Dantas de Medeiros","Regular"
"Flamengo","Pedro","Regular"
"Flamengo","Gabriel Barbosa","Penalti"
"Corinthians","Matheus Araújo","Regular"
"Corinthians","Róger Guedes","Regular"
"Cruzeiro","Oliveira","Regular"
"Gremio","João Pedro Maturano dos Santos","Regular"
"Fluminense","Nino","Regular"
"Fluminense","Lima","Regular"
"Cuiaba","Mateusinho","Regular"
"Bragantino","Thiago Borbas","Regular"
"Sao Paulo","Luciano da Rocha Neves","Regular"
"Sao Paulo","Jonathan Calleri","Regular"
"Sao Paulo","Marcos Paulo Costa do Nascimento","Regular"
"Cruzeiro","Bruno Rodrigues","Regular"
"Internacional","Maurício Magalhães Prado","Regular"
"Flamengo","Gerson Santos da Silva","Regular"
"Internacional","Maurício Magalhães Prado","Regular"
"Palmeiras","Rafael Navarro","Regular"
"Palmeiras","Artur Victor Guimarães","Regular"
"Vasco","Pedro Raul","Regular"
"Vasco","Gabriel Pec","Regular"
"Fortaleza","Yago Pikachu","Regular"
"Fortaleza","Silvio Romero","Regular"
"Fortaleza","Yago Pikachu","Regular"
"Corinthians","Róger Guedes","Regular"
"Goias","Matheus Peixoto","Regular"
"Goias","Lucas Halter","Regular"
"Goias","Apodi","Regular"
"Bahia","Vítor Jacaré","Regular"
"Botafogo-RJ","Júnior Santos","Regular"
"Botafogo-RJ","Danilo Neves","Regular"
"Coritiba","Bruno Gomes","Regular"
"Sao Paulo","Marcos Paulo Costa do Nascimento","Regular"
"Fortaleza","Thiago Galhardo","Regular"
"Fluminense","Alan Carvalho","Regular"
"Fortaleza","Moisés Vieira da Veiga","Regular"
"Fluminense","John Kennedy","Regular"
"Fortaleza","Moisés Vieira da Veiga","Regular"
"Fortaleza","Hércules","Regular"
"Palmeiras","Murilo Cerqueira","Regular"
"Corinthians","Joaquín Piquerez","Contra"
"Palmeiras","Raphael Cavalcante Veiga","Regular"
"America-MG","Alexandre Egea","Regular"
"America-MG","Everaldo","Regular"
"Santos","Stiven Mendoza","Regular"
"Santos","Eduardo","Regular"
"Santos","Marcos Leonardo","Penalti"
"Cruzeiro","Bruno Rodrigues","Regular"
"Cruzeiro","Ramiro","Regular"
"Cruzeiro","Gilberto Oliveira Souza Junior","Regular"
"Atletico-MG","Hulk","Regular"
"Atletico-MG","Hulk","Regular"
"Athletico-PR","Vitor Roque","Regular"
"Flamengo","Léo Pereira","Regular"
"Botafogo-RJ","Tiquinho Soares","Penalti"
"Flamengo","Léo Pereira","Regular"
"Botafogo-RJ","Tiquinho Soares","Regular"
"Botafogo-RJ","Danilo Barbosa da Silva","Regular"
"Cuiaba","Marllon Borges","Regular"
"Gremio","Vina","Regular"
"Gremio","Everton","Regular"
"Internacional","Carlos de Pena","Regular"
"Bahia","Thaciano","Regular"
"Cruzeiro","Wesley Ribeiro Silva","Regular"
"Cruzeiro","Wesley Ribeiro Silva","Regular"
"Santos","Ângelo Gabriel","Regular"
"Fluminense","Lima","Regular"
"Vasco","Pedro Raul","Regular"
"Cuiaba","Marlon","Contra"
"America-MG","Aloísio dos Santos Gonçalves","Regular"
"Cuiaba","Ronald","Regular"
"Bahia","Gabriel Teixeira","Regular"
"Bahia","David Duarte","Regular"
"Coritiba","Gabriel Boschilia","Regular"
"Bahia","Victor Luis","Contra"
"Athletico-PR","Vitor Roque","Regular"
"Flamengo","Gabriel Barbosa","Penalti"
"Athletico-PR","Erick Luis Conrado Carvalho","Regular"
"Sao Paulo","Pablo Maia","Regular"
"Sao Paulo","Luciano da Rocha Neves","Regular"
"Gremio","Everton","Regular"
"Bragantino","Matheus Fernandes","Regular"
"Bragantino","Eduardo Sasha","Regular"
"Gremio","Franco Cristaldo","Penalti"
"Gremio","Luis Alberto Suárez","Regular"
"Bragantino","Thiago Borbas","Regular"
"Botafogo-RJ","João Victor Santos Sá","Regular"
"Botafogo-RJ","Matheus Nascimento","Regular"
"Palmeiras","Sidimar Fernando Sigolini","Contra"
"Palmeiras","Endrick","Regular"
"Palmeiras","Eduardo Pereira Rodrigues","Regular"
"Palmeiras","Artur Victor Guimarães","Regular"
"Palmeiras","Raphael Cavalcante Veiga","Regular"
"Corinthians","Yuri Alberto","Regular"
"Fortaleza","Caio Alexandre","Regular"
"Santos","Ângelo Gabriel","Regular"
"Santos","Deivid Washington","Regular"
"Santos","Stiven Mendoza","Regular"
"Athletico-PR","Christian Roberto Alves Cardoso","Regular"
"Athletico-PR","Willian Gomes de Siqueira","Regular"
"America-MG","Aloísio dos Santos Gonçalves","Penalti"
"Bragantino","Hélio Junio Nunes de Castro","Regular"
"Bragantino","Hélio Junio Nunes de Castro","Regular"
"America-MG","Aloísio dos Santos Gonçalves","Penalti"
"Atletico-MG","Cristian Pavón","Regular"
"Atletico-MG","Paulinho","Regular"
"Atletico-MG","Hulk","Penalti"
"Atletico-MG","Hyoran","Regular"
"Flamengo","Éverton Ribeiro","Regular"
"Flamengo","Pedro","Penalti"
"Fluminense","Germán Cano","Regular"
"Fluminense","Paulo Henrique Ganso","Regular"
"Gremio","João Paulo Bitello","Regular"
"Palmeiras","Raphael Cavalcante Veiga","Regular"
"Palmeiras","Mayke","Regular"
"Palmeiras","Luan Garcia Teixeira","Regular"
"Palmeiras","Raphael Cavalcante Veiga","Penalti"
"Coritiba","Zé Roberto","Regular"
"Vasco","Erick Marcus","Regular"
"Botafogo-RJ","Carlos Eduardo de Oliveira Alves","Regular"
"Botafogo-RJ","Tiquinho Soares","Penalti"
"Botafogo-RJ","Tiquinho Soares","Regular"
"Flamengo","David Luiz","Regular"
"Bahia","Gabriel Teixeira","Regular"
"Flamengo","Gabriel Barbosa","Penalti"
"Bahia","Ademir","Regular"
"Flamengo","Matheus França","Regular"
"Fluminense","Nino","Regular"
"Fluminense","Paulo Henrique Ganso","Regular"
"Bragantino","Juninho Capixaba","Regular"
"Palmeiras","Artur Victor Guimarães","Regular"
"Atletico-MG","Eduardo Vargas","Regular"
"Atletico-MG","Paulinho","Regular"
"Santos","Deivid Washington","Regular"
"Sao Paulo","Michel Araújo","Regular"
"Corinthians","Róger Guedes","Penalti"
"Coritiba","Marcelino Moreno","Regular"
"Athletico-PR","Pablo Felipe Teixeira","Regular"
"Coritiba","Robson Fernandes","Regular"
"Athletico-PR","Willian Gomes de Siqueira","Regular"
"Athletico-PR","Agustín Canobbio","Regular"
"Cruzeiro","Henrique Dourado","Regular"
"Cruzeiro","Marlon Rodrigues Xavier","Regular"
"Cruzeiro","Gilberto Oliveira Souza Junior","Regular"
"Cruzeiro","Gilberto Oliveira Souza Junior","Regular"
"Goias","Bruno Melo","Regular"
"Goias","Magno Jose da Silva","Regular"
"Botafogo-RJ","Tiquinho Soares","Penalti"
"Bahia","Everaldo Stum","Regular"
"Goias","Bruno Melo","Regular"
"Bragantino","Eduardo Sasha","Regular"
"Bragantino","Thiago Borbas","Regular"
"Sao Paulo","Jonathan Calleri","Regular"
"Vasco","Cauan Barros","Regular"
"Sao Paulo","Rodrigo Nestor","Regular"
"Vasco","Matías Galarza","Regular"
"Sao Paulo","Lucas Beraldo","Regular"
"Sao Paulo","Juan Santos da Silva","Regular"
"America-MG","Felipe Azevedo","Regular"
"Fortaleza","Tomás Pochettino","Regular"
"America-MG","Breno","Regular"
"Botafogo-RJ","Víctor Cuesta","Regular"
"Coritiba","Robson Fernandes","Penalti"
"Atletico-MG","Hulk","Penalti"
"Atletico-MG","Hyoran","Regular"
"Flamengo","Léo Pereira","Regular"
"Gremio","Luis Alberto Suárez","Regular"
"Gremio","Mathías Villasanti","Regular"
"Gremio","João Paulo Bitello","Regular"
"Internacional","Johnny Cardoso","Regular"
"Cuiaba","Deyverson","Regular"
"Athletico-PR","Vitor Roque","Regular"
"Gremio","Cuiabano","Regular"
"Gremio","Bruno Uvini","Regular"
"Fortaleza","Thiago Galhardo","Regular"
"Fortaleza","Silvio Romero","Regular"
"Flamengo","Ayrton Lucas Dantas de Medeiros","Regular"
"Cruzeiro","Marlon Rodrigues Xavier","Regular"
"Cuiaba","Fernando Sobral","Regular"
"Coritiba","Robson Fernandes","Regular"
"Goias","Magno Jose da Silva","Regular"
"Sao Paulo","Pablo Maia","Regular"
"Sao Paulo","David Corrêa da Fonseca","Regular"
"Internacional","Wanderson","Regular"
"Internacional","Johnny Cardoso","Regular"
"Corinthians","Róger Guedes","Regular"
"Corinthians","Róger Guedes","Regular"
"Bragantino","Juninho Capixaba","Regular"
"Bragantino","Vitor Hugo Naum dos Santos","Regular"
"Atletico-MG","Cristian Pavón","Regular"
"Palmeiras","Eduardo Pereira Rodrigues","Regular"
"Botafogo-RJ","Júnior Santos","Regular"
"Botafogo-RJ","Luis Henrique","Regular"
"Athletico-PR","Alex Paulo Menezes Santana","Regular"
"Atletico-MG","Hulk","Regular"
"America-MG","Renato Marques","Regular"
"America-MG","Danilo Avelar","Penalti"
"Santos","Lucas Rafael Araújo Lima","Regular"
"Internacional","Luiz Adriano","Regular"
"Fluminense","Paulo Henrique Ganso","Regular"
"Fluminense","Felipe Melo","Regular"
"Bragantino","Thiago Borbas","Regular"
"Sao Paulo","Jonathan Calleri","Regular"
"Gremio","Reinaldo Manoel da Silva","Regular"
"Gremio","Franco Cristaldo","Penalti"
"Cuiaba","Deyverson","Regular"
"Palmeiras","Rony","Regular"
"Coritiba","Alef Manga","Regular"
"Palmeiras","Artur Victor Guimarães","Regular"
"Palmeiras","Rony","Regular"
"Flamengo","Pedro","Regular"
"Vasco","Jair Rodrigues Júnior","Penalti"
"Flamengo","Ayrton Lucas Dantas de Medeiros","Regular"
"Flamengo","Erick Pulgar","Regular"
"Flamengo","Gerson Santos da Silva","Regular"
"Atletico-MG","Paulinho","Regular"
"Bragantino","Eduardo Sasha","Regular"
"Cruzeiro","Bruno Rodrigues","Regular"
"Cruzeiro","Wesley Ribeiro Silva","Regular"
"Bahia","Kayky","Regular"
"Bahia","Arthur Sales","Regular"
"Corinthians","Ruan Oliveira","Regular"
"Cuiaba","Deyverson","Regular"
"Botafogo-RJ","Tiquinho Soares","Regular"
"Botafogo-RJ","Tiquinho Soares","Regular"
"America-MG","Wellington Paulista","Regular"
"America-MG","Danilo Avelar","Regular"
"Athletico-PR","Vitor Roque","Regular"
"Athletico-PR","Christian Roberto Alves Cardoso","Regular"
"Palmeiras","Gabriel Menino","Regular"
"Palmeiras","Endrick","Regular"
"Vasco","Rayan","Regular"
"Internacional","Rômulo Zwarg","Regular"
"Internacional","Wanderson","Regular"
"Flamengo","Everton Cebolinha","Regular"
"Flamengo","Pedro","Regular"
"Flamengo","Bruno Henrique","Regular"
"Goias","Alesson","Regular"
"Fluminense","Germán Cano","Regular"
"Goias","Matheus Peixoto","Penalti"
"Fluminense","Lima","Regular"
"Fortaleza","Juan Martín Lucero","Regular"
"Sao Paulo","Gabriel Neves","Regular"
"Sao Paulo","Luciano da Rocha Neves","Regular"
"Athletico-PR","Vitor Roque","Regular"
"Corinthians","Ruan Oliveira","Regular"
"Corinthians","Yuri Alberto","Regular"
"Atletico-MG","Guga","Contra"
"Fluminense","Samuel Xavier","Regular"
"Bahia","Thaciano","Regular"
"Gremio","Luis Alberto Suárez","Regular"
"America-MG","Danilo Avelar","Regular"
"Gremio","Matheus Cavichioli","Contra"
"Gremio","Mathías Villasanti","Regular"
"Botafogo-RJ","Tiquinho Soares","Penalti"
"Goias","Everton Morelli","Regular"
"Internacional","Pedro Henrique Konzen","Penalti"
"Bragantino","Henry Mosquera","Regular"
"Bragantino","Henry Mosquera","Regular"
"Bragantino","Alerrandro Barra Mansa Realino de Souza","Regular"
"Bragantino","Eduardo Santos","Regular"
"Athletico-PR","Vitor Roque","Regular"
"Fluminense","Leanderson da Silva Genésio","Regular"
"Fluminense","Gabriel Pirani","Regular"
"Bahia","Vinicius Mingotti","Regular"
"Fortaleza","Tinga","Regular"
"Atletico-MG","Alan Kardec","Regular"
"Fortaleza","Tomás Pochettino","Regular"
"Cruzeiro","Rafinha","Contra"
"Botafogo-RJ","Tiquinho Soares","Regular"
"Gremio","João Paulo Bitello","Regular"
"Gremio","Franco Cristaldo","Penalti"
"Gremio","Luis Alberto Suárez","Regular"
"Gremio","André Henrique","Regular"
"Gremio","Mathías Villasanti","Regular"
"Coritiba","Alef Manga","Regular"
"Bragantino","Eduardo Sasha","Regular"
"Bragantino","Marcos Vinicios","Regular"
"America-MG","Juninho","Regular"
"Internacional","Jean Dias","Regular"
"Internacional","Alexandre Alemão","Regular"
"Santos","Rodrigo Fernández","Regular"
"Flamengo","Everton Cebolinha","Regular"
"Flamengo","Éverton Ribeiro","Regular"
"Santos","Stiven Mendoza","Regular"
"Flamengo","Erick Pulgar","Regular"
"Vasco","Jair Rodrigues Júnior","Penalti"
"Sao Paulo","Luciano da Rocha Neves","Regular"
"Flamengo","Giorgian De Arrascaeta","Regular"
"Flamengo","Gabriel Barbosa","Regular"
"Bahia","Kayky","Regular"
"Gremio","Franco Cristaldo","Regular"
"Gremio","Gustavo Martins","Regular"
"Bragantino","Eduardo Sasha","Regular"
"Botafogo-RJ","Luis Henrique","Regular"
"Botafogo-RJ","Carlos Alberto","Regular"
"Atletico-MG","Hulk","Regular"
"America-MG","Gonzalo Mastriani","Regular"
"America-MG","Gonzalo Mastriani","Regular"
"Atletico-MG","Matías Zaracho","Regular"
"Palmeiras","Endrick","Regular"
"Palmeiras","Gabriel Menino","Regular"
"Athletico-PR","Vitor Bueno","Penalti"
"Athletico-PR","Vitor Roque","Regular"
"Cuiaba","Rikelme","Regular"
"Cuiaba","Deyverson","Regular"
"Cuiaba","Denilson","Regular"
"Goias","Dodô","Regular"
"Coritiba","Alef Manga","Regular"
"Coritiba","Benjamín Kuscevic","Regular"
"Bahia","Alan Empereur","Contra"
"Cuiaba","Deyverson","Penalti"
"Cruzeiro","Machado","Regular"
"Corinthians","Róger Guedes","Regular"
"America-MG","Juninho","Regular"
"Coritiba","Alef Manga","Penalti"
"Coritiba","Robson Fernandes","Regular"
"Coritiba","Victor Luis","Regular"
"Palmeiras","Eduardo Pereira Rodrigues","Regular"
"Flamengo","Giorgian De Arrascaeta","Regular"
"Santos","Marcos Leonardo","Regular"
"Santos","Stiven Mendoza","Regular"
"Santos","Stiven Mendoza","Penalti"
"Goias","Guilherme","Regular"
"Goias","Guilherme","Penalti"
"Santos","Marcos Leonardo","Regular"
"Goias","João Magno","Regular"
"Fluminense","Germán Cano","Regular"
"Fluminense","Martinelli","Regular"
"Fortaleza","Yago Pikachu","Regular"
"Botafogo-RJ","Carlos Alberto","Regular"
"Botafogo-RJ","Carlos Eduardo de Oliveira Alves","Regular"
"Botafogo-RJ","Carlos Eduardo de Oliveira Alves","Regular"
"Botafogo-RJ","Leonel Di Plácido","Regular"
"Cuiaba","Deyverson","Regular"
"Sao Paulo","Jonathan Calleri","Regular"
"Santos","Marcos Leonardo","Penalti"
"Sao Paulo","David Corrêa da Fonseca","Regular"
"Sao Paulo","Alexandre Pato","Regular"
"Sao Paulo","Jonathan Calleri","Penalti"
"Athletico-PR","Erick Luis Conrado Carvalho","Regular"
"Athletico-PR","Vitor Roque","Regular"
"Palmeiras","Richard Ríos","Regular"
"Palmeiras","Raphael Cavalcante Veiga","Regular"
"Fortaleza","Juan Martín Lucero","Penalti"
"Palmeiras","Breno Lopes","Regular"
"Flamengo","Victor Hugo","Regular"
"America-MG","Felipe Azevedo","Regular"
"Cuiaba","Isidro Pitta","Regular"
"Sao Paulo","Nathan","Regular"
"Cuiaba","Clayson","Penalti"
"Gremio","Ronald Falkoski","Regular"
"Goias","João Magno","Regular"
"Botafogo-RJ","Adryelson","Regular"
"Santos","Marcos Leonardo","Regular"
"Santos","Marcos Leonardo","Regular"
"Botafogo-RJ","Tiquinho Soares","Regular"
"Athletico-PR","Vitor Bueno","Penalti"
"Athletico-PR","Christian Roberto Alves Cardoso","Regular"
"Coritiba","Robson Fernandes","Penalti"
"Coritiba","Diogo de Oliveira Barbosa","Regular"
"Fluminense","Germán Cano","Regular"
"Cruzeiro","Arthur Gomes","Regular"
"Athletico-PR","Madson","Regular"
"Cruzeiro","Wesley Ribeiro Silva","Regular"
"Athletico-PR","Pablo Felipe Teixeira","Regular"
"Athletico-PR","Fernandinho","Penalti"
"Cruzeiro","Arthur Gomes","Regular"
"Cuiaba","Deyverson","Regular"
"Internacional","Fabricio Bustos","Regular"
"Cuiaba","Raniele","Regular"
"Bragantino","Luan Cândido","Regular"
"Bragantino","Bruno Gonçalves","Regular"
"Bragantino","Thiago Borbas","Regular"
"Corinthians","Maycon de Andrade Barberan","Regular"
"Corinthians","Yuri Alberto","Regular"
"Vasco","Gabriel Pec","Regular"
"Corinthians","Róger Guedes","Penalti"
"Flamengo","Giorgian De Arrascaeta","Regular"
"Flamengo","Wesley França","Regular"
"Atletico-MG","Paulinho","Regular"
"Palmeiras","Rony","Regular"
"Palmeiras","Rony","Regular"
"America-MG","Nicolas","Regular"
"Palmeiras","Artur Victor Guimarães","Regular"
"Palmeiras","Murilo Cerqueira","Regular"
"Botafogo-RJ","Gustavo Sauer","Regular"
"Botafogo-RJ","Tiquinho Soares","Regular"
"Botafogo-RJ","Tiquinho Soares","Regular"
"Botafogo-RJ","Gustavo Sauer","Regular"
"Coritiba","Bruno Gomes","Regular"
"Goias","Matheus Babi","Regular"
"Gremio","André Henrique","Regular"
"Santos","Marcos Leonardo","Penalti"
"Athletico-PR","Pablo Felipe Teixeira","Regular"
"Goias","Tobias Figueiredo","Contra"
"Internacional","Luiz Adriano","Regular"
"Corinthians","Renato Augusto","Regular"
"Corinthians","Fábio Santos","Penalti"
"Internacional","Bruno Henrique Corsini","Regular"
"Fluminense","John Kennedy","Regular"
"Fluminense","Jhon Arias","Penalti"
"Palmeiras","Gustavo Gómez","Regular"
"Vasco","Pablo Vegetti","Regular"
"Atletico-MG","Hulk","Regular"
"Atletico-MG","Cristian Pavón","Penalti"
"Bragantino","Marcos Vinicios","Regular"
"Bahia","Cauly","Regular"
"Bahia","Rafael Ratão","Regular"
"America-MG","Gonzalo Mastriani","Regular"
"Bahia","Everaldo Stum","Regular"
"Cuiaba","Clayson","Regular"
"Cuiaba","Deyverson","Regular"
"Cuiaba","Matheus Alexandre Anastácio de Souza","Regular"
"Internacional","Maurício Magalhães Prado","Regular"
"Botafogo-RJ","Nicolás Hernández","Contra"
"Botafogo-RJ","João Victor Santos Sá","Regular"
"Botafogo-RJ","Luis Henrique","Regular"
"Atletico-MG","Paulinho","Regular"
"Goias","Lucas Halter","Regular"
"Fluminense","Germán Cano","Regular"
"Gremio","João Paulo Bitello","Regular"
"Gremio","Aldemir Ferreira","Regular"
"Corinthians","Yuri Alberto","Regular"
"Corinthians","Wesley Gassova","Regular"
"Coritiba","Murillo","Contra"
"Corinthians","Carlos Gilberto do Nascimento Silva","Regular"
