"clube","cartao","atleta"
"Fluminense","Amarelo","Manoel Messias Silva Carvalho"
"Atletico-MG","Amarelo","Allan Rodrigues de Souza"
"Fluminense","Amarelo","Samuel Xavier"
"Fluminense","Amarelo","Felipe Melo"
"Ceara","Amarelo","Richard Candido Coelho"
"America-MG","Amarelo","Juan Pablo Ramírez Velásquez"
"America-MG","Amarelo","Aloísio dos Santos Gonçalves"
"Ceara","Amarelo","Stiven Mendoza"
"Ceara","Amarelo","Fernando Sobral"
"America-MG","Amarelo","Matheus Cavichioli"
"America-MG","Amarelo","Everaldo"
"Internacional","Amarelo","Johnny Cardoso"
"Santos","Amarelo","Luiz Felipe"
"Santos","Amarelo","Guilherme Camacho"
"Santos","Amarelo","Sandry Roberto"
"Santos","Amarelo","Carlos Sánchez"
"Avai","Amarelo","Bressan"
"Atletico-GO","Amarelo","Renan dos Santos"
"Atletico-GO","Amarelo","Wellington Rato"
"Avai","Amarelo","Thales"
"Atletico-GO","Amarelo","Gabriel Baralhas"
"Atletico-GO","Amarelo","Diego Churín"
"Juventude","Amarelo","Elton Junior Melo Ataíde"
"Athletico-PR","Amarelo","Pedro Henrique Ribeiro Gonçalves"
"Athletico-PR","Amarelo","Vitor Roque"
"Juventude","Amarelo","Vitor Mendes"
"Juventude","Amarelo","Gabriel Tota"
"Athletico-PR","Amarelo","Agustín Canobbio"
"Juventude","Amarelo","Felipe Pires"
"Juventude","Amarelo","José Guilherme Guidolin Pegorari"
"Flamengo","Amarelo","Giorgian De Arrascaeta"
"Bragantino","Vermelho","Luan Cândido"
"Goias","Amarelo","Dada"
"Fortaleza","Amarelo","Juninho Capixaba"
"Goias","Amarelo","Savio Antonio Alves"
"Goias","Amarelo","Auremir Evangelista dos Santos"
"Fortaleza","Amarelo","Tinga"
"Corinthians","Amarelo","Fausto Vera"
"Botafogo-RJ","Amarelo","Hugo"
"Botafogo-RJ","Amarelo","Kanu"
"Palmeiras","Amarelo","Gustavo Gómez"
"Palmeiras","Vermelho","José Rafael Vivian"
"Botafogo-RJ","Amarelo","Romildo Del Piage"
"Botafogo-RJ","Amarelo","Danilo Neves"
"Palmeiras","Amarelo","José Rafael Vivian"
"Corinthians","Amarelo","Adson"
"Juventude","Amarelo","Ruan"
"Corinthians","Amarelo","Carlos Gilberto do Nascimento Silva"
"Atletico-GO","Amarelo","Léo Pereira"
"Atletico-GO","Amarelo","Gabriel Baralhas"
"Atletico-GO","Amarelo","Jefferson"
"Atletico-GO","Amarelo","Airton"
"Ceara","Amarelo","Stiven Mendoza"
"Ceara","Amarelo","Gabriel Lacerda"
"Goias","Amarelo","Fellipe Bastos"
"Goias","Amarelo","Hugo"
"Ceara","Vermelho","Vinícius"
"Ceara","Amarelo","Vinícius"
"Ceara","Amarelo","Richardson Fernandes dos Santos"
"Goias","Amarelo","Luan Dias"
"Goias","Amarelo","Diego"
"Bragantino","Amarelo","Aderlan Silva"
"Cuiaba","Amarelo","Gustavo Nescau"
"Cuiaba","Amarelo","Pepê"
"Bragantino","Amarelo","Hélio Junio Nunes de Castro"
"Cuiaba","Amarelo","Denilson"
"Athletico-PR","Amarelo","Thiago Heleno"
"Athletico-PR","Amarelo","Tomás Cuello"
"Fortaleza","Amarelo","Brayan Ceballos"
"Flamengo","Amarelo","Gabriel Barbosa Almeida"
"Flamengo","Amarelo","David Luiz"
"Internacional","Amarelo","Pedro Henrique Konzen"
"Flamengo","Amarelo","Thiago Maia"
"Internacional","Amarelo","Gabriel Mercado"
"Santos","Vermelho","Nathan Santos"
"Santos","Amarelo","Lucas Braga Ribeiro"
"Atletico-MG","Amarelo","Éverson Felipe Marques Pires"
"Atletico-MG","Amarelo","Jemerson de Jesus Nascimento"
"Santos","Amarelo","João Paulo"
"Atletico-MG","Amarelo","Allan Rodrigues de Souza"
"Atletico-MG","Amarelo","Ademir"
"Coritiba","Amarelo","Thonny Anderson"
"Palmeiras","Amarelo","Eduard Atuesta"
"Coritiba","Amarelo","Gabriel Boschilia"
"Avai","Amarelo","William Pottker"
"Botafogo-RJ","Amarelo","Jeffinho"
"Botafogo-RJ","Amarelo","Rafael Pereira da Silva"
"Avai","Amarelo","Bruno César Pereira da Silva"
"Botafogo-RJ","Amarelo","Fernando Marçal"
"Botafogo-RJ","Amarelo","Víctor Cuesta"
"America-MG","Amarelo","Aloísio dos Santos Gonçalves"
"Sao Paulo","Amarelo","Alisson Euler de Freitas Castro"
"Sao Paulo","Amarelo","Pablo Maia"
"America-MG","Amarelo","Danilo Avelar"
"Sao Paulo","Amarelo","João Miranda de Souza Filho"
"Sao Paulo","Amarelo","Jonathan Calleri"
"Cuiaba","Amarelo","Alan Empereur"
"Flamengo","Amarelo","Pablo Castro"
"Cuiaba","Amarelo","Kelvin Osorio"
"Flamengo","Amarelo","Diego Ribas"
"Corinthians","Amarelo","Ramiro"
"Goias","Amarelo","Magno Jose da Silva"
"Goias","Amarelo","Danilo Barcelos"
"Goias","Amarelo","Luan Dias"
"Goias","Amarelo","Diego"
"Internacional","Amarelo","Pedro Henrique Konzen"
"Goias","Amarelo","Lucas Halter"
"Goias","Amarelo","Hugo"
"Goias","Amarelo","Dada"
"Fortaleza","Amarelo","Tinga"
"Avai","Amarelo","Bruno César Pereira da Silva"
"Sao Paulo","Amarelo","Pablo Maia"
"Botafogo-RJ","Amarelo","Víctor Cuesta"
"Sao Paulo","Vermelho","Leonardo Pinheiro"
"Sao Paulo","Amarelo","Rafinha"
"Sao Paulo","Amarelo","Leonardo Pinheiro"
"Botafogo-RJ","Amarelo","Kanu"
"Coritiba","Vermelho","Warley"
"Bragantino","Amarelo","Lucas Evangelista"
"Bragantino","Amarelo","Jadsom"
"Bragantino","Amarelo","Maycon Cleiton"
"Atletico-MG","Amarelo","Keno"
"Ceara","Amarelo","Zé Roberto"
"Ceara","Amarelo","Richardson Fernandes dos Santos"
"Ceara","Amarelo","Luiz Otávio"
"Atletico-MG","Amarelo","Jemerson de Jesus Nascimento"
"Atletico-MG","Amarelo","Otávio Henrique Passos Santos"
"Ceara","Amarelo","Diego Rigonato"
"Ceara","Amarelo","Lima"
"America-MG","Amarelo","Juninho"
"America-MG","Amarelo","Henrique Almeida"
"Fluminense","Amarelo","Nathan"
"America-MG","Amarelo","Everaldo"
"Atletico-GO","Amarelo","Jorginho"
"Atletico-GO","Amarelo","Edson"
"Palmeiras","Amarelo","Rony"
"Atletico-GO","Amarelo","Shaylon"
"Atletico-GO","Amarelo","Willian Maranhão"
"Palmeiras","Amarelo","José Rafael Vivian"
"Santos","Amarelo","Lucas Barbosa"
"Santos","Amarelo","Rodrigo Fernández"
"Flamengo","Amarelo","Santos"
"Flamengo","Amarelo","Victor Hugo"
"Flamengo","Amarelo","Fabrício Bruno"
"Flamengo","Amarelo","Matheus França"
"Fortaleza","Amarelo","Romarinho"
"Fortaleza","Amarelo","Caio Alexandre"
"Fortaleza","Vermelho","Caio Alexandre"
"America-MG","Amarelo","Henrique Almeida"
"Fortaleza","Amarelo","Tinga"
"Sao Paulo","Vermelho","Nahuel Ferraresi"
"Palmeiras","Amarelo","Breno Lopes"
"Palmeiras","Amarelo","José Rafael Vivian"
"Sao Paulo","Amarelo","Giuliano Galoppo"
"Sao Paulo","Vermelho","Lucas Beraldo"
"Palmeiras","Amarelo","Murilo Cerqueira"
"Sao Paulo","Amarelo","Jonathan Calleri"
"Sao Paulo","Amarelo","Eder Citadin Martins"
"Cuiaba","Vermelho","Igor Aquino da Silva"
"Ceara","Amarelo","Richard Candido Coelho"
"Ceara","Amarelo","Richard"
"Cuiaba","Amarelo","Alan Empereur"
"Cuiaba","Amarelo","Igor Aquino da Silva"
"Ceara","Amarelo","Zé Roberto"
"Ceara","Amarelo","Nino Paraíba"
"Cuiaba","Amarelo","Deyverson"
"Cuiaba","Amarelo","Denilson"
"Cuiaba","Amarelo","Joaquim Henrique Pereira Silva"
"Juventude","Amarelo","Bruno Nazário"
"Atletico-GO","Amarelo","Lucas Gazal"
"Juventude","Amarelo","Elton Junior Melo Ataíde"
"Botafogo-RJ","Amarelo","Gustavo Sauer"
"Internacional","Amarelo","Liziero"
"Internacional","Amarelo","David Corrêa da Fonseca"
"Internacional","Amarelo","Rodrigo Moledo"
"Botafogo-RJ","Amarelo","Daniel Borges"
"Botafogo-RJ","Amarelo","Danilo Neves"
"Internacional","Amarelo","Taison"
"Internacional","Amarelo","Johnny Cardoso"
"Avai","Amarelo","José Renato da Silva Júnior"
"Avai","Amarelo","Eduardo Jacinto de Biasi"
"Athletico-PR","Amarelo","Alex Paulo Menezes Santana"
"Coritiba","Amarelo","Jesús Trindade"
"Athletico-PR","Amarelo","Fernandinho"
"Athletico-PR","Amarelo","Pedro Henrique Azevedo Pereira"
"Coritiba","Amarelo","Alef Manga"
"Bragantino","Amarelo","Léo Realpe"
"Bragantino","Amarelo","Aderlan Silva"
"Santos","Amarelo","Ângelo Gabriel"
"Santos","Amarelo","Eduardo"
"Bragantino","Vermelho","Lucas Evangelista"
"Bragantino","Amarelo","Werik Popó"
"Santos","Amarelo","Vinicius Zanocelo"
"Santos","Amarelo","Rodrigo Fernández"
"Sao Paulo","Amarelo","Luizão"
"Coritiba","Amarelo","Adrián Emmanuel Martínez"
"Coritiba","Amarelo","Diego Porfírio"
"Coritiba","Amarelo","Natanael"
"Sao Paulo","Amarelo","Luciano da Rocha Neves"
"Coritiba","Amarelo","Henrique Adriano Buss"
"Coritiba","Amarelo","Bruno Gomes"
"Coritiba","Amarelo","Jhon Chancellor"
"Athletico-PR","Amarelo","Pedro Henrique Ribeiro Gonçalves"
"Athletico-PR","Amarelo","Abner Vinícius"
"Athletico-PR","Amarelo","Thiago Heleno"
"Flamengo","Amarelo","Fabrício Bruno"
"America-MG","Amarelo","Aloísio dos Santos Gonçalves"
"Santos","Vermelho","Lucas Barbosa"
"Santos","Amarelo","Lucas Barbosa"
"Corinthians","Amarelo","Fabián Balbuena"
"Corinthians","Amarelo","Fausto Vera"
"Corinthians","Vermelho","Yuri Alberto"
"Santos","Amarelo","Lucas Braga Ribeiro"
"Corinthians","Amarelo","Cássio Ramos"
"Corinthians","Amarelo","Yuri Alberto"
"Palmeiras","Amarelo","Gustavo Scarpa"
"Avai","Amarelo","Vladimir Orlando Cardoso de Araújo Filho"
"Palmeiras","Amarelo","Breno Lopes"
"Avai","Amarelo","Bissoli"
"Juventude","Amarelo","Vitor Mendes"
"Sao Paulo","Amarelo","Pablo Maia"
"Juventude","Amarelo","Rodrigo Alves Soares"
"Sao Paulo","Amarelo","João Moreira"
"Fluminense","Amarelo","Paulo Henrique Ganso"
"Botafogo-RJ","Amarelo","Fernando Marçal"
"Fluminense","Amarelo","Matheus Martins"
"Fluminense","Amarelo","Matheus Martinelli"
"Botafogo-RJ","Amarelo","Francisco Soares"
"Atletico-GO","Amarelo","Edson"
"Atletico-GO","Amarelo","Luiz Fernando Moraes dos Santos"
"Ceara","Amarelo","Guilherme Castilho"
"Atletico-GO","Amarelo","Gabriel Baralhas"
"Ceara","Amarelo","Richardson Fernandes dos Santos"
"Cuiaba","Amarelo","Joaquim Henrique Pereira Silva"
"Goias","Amarelo","Luan Dias"
"Goias","Amarelo","Pedro Raúl"
"Cuiaba","Amarelo","Deyverson"
"Cuiaba","Amarelo","Denilson"
"Goias","Amarelo","Danilo Barcelos"
"Goias","Amarelo","Apodi"
"Coritiba","Amarelo","Matías Galarza"
"Coritiba","Amarelo","Jesús Trindade"
"Coritiba","Amarelo","Luciano Castán"
"Internacional","Amarelo","Johnny Cardoso"
"Fortaleza","Amarelo","Emanuel Brítez"
"Fortaleza","Amarelo","Juninho Capixaba"
"Atletico-MG","Amarelo","Jemerson de Jesus Nascimento"
"Fortaleza","Amarelo","Thiago Galhardo"
"Fortaleza","Amarelo","Cristian Chagas Tarouco"
"Flamengo","Amarelo","Mário Sérgio Santos Costa"
"Santos","Amarelo","Alex"
"Santos","Amarelo","Madson"
"Flamengo","Amarelo","Léo Pereira"
"Flamengo","Amarelo","Erick Pulgar"
"Santos","Amarelo","Guilherme Camacho"
"Santos","Amarelo","Rodrigo Fernández"
"Athletico-PR","Vermelho","Tomás Cuello"
"Athletico-PR","Amarelo","Pablo Felipe Teixeira"
"Athletico-PR","Amarelo","Rômulo José Cardoso da Cruz"
"Palmeiras","Amarelo","Gustavo Scarpa"
"Palmeiras","Amarelo","Murilo Cerqueira"
"Athletico-PR","Amarelo","Bryan García"
"Palmeiras","Amarelo","Joaquín Piquerez"
"Palmeiras","Amarelo","Gustavo Garcia"
"Palmeiras","Amarelo","Gustavo Gómez"
"Botafogo-RJ","Amarelo","Gabriel Appelt Pires"
"Bragantino","Amarelo","Gabriel Novaes"
"Bragantino","Amarelo","Kevin Lomónaco"
"Bragantino","Amarelo","Aderlan Silva"
"Bragantino","Amarelo","Werik Popó"
"Ceara","Amarelo","Luiz Otávio"
"Ceara","Amarelo","Geovane"
"Goias","Amarelo","Auremir Evangelista dos Santos"
"America-MG","Amarelo","Patric Cabral Lalau"
"America-MG","Amarelo","Matheus Leonardo Sales Cardoso"
"Goias","Amarelo","Magno Jose da Silva"
"America-MG","Amarelo","Aloísio dos Santos Gonçalves"
"Corinthians","Amarelo","Ramiro"
"Fluminense","Amarelo","Germán Cano"
"Corinthians","Amarelo","Fagner"
"Fluminense","Amarelo","Felipe Melo"
"Fluminense","Amarelo","Samuel Xavier"
"Coritiba","Amarelo","Gabriel Boschilia"
"Coritiba","Vermelho","Guillermo De Los Santos"
"Fortaleza","Amarelo","Lucas Rafael Araújo Lima"
"Atletico-GO","Vermelho","Airton"
"Sao Paulo","Amarelo","Patrick"
"Atletico-GO","Amarelo","Edson"
"Atletico-GO","Amarelo","Wanderson"
"Sao Paulo","Amarelo","Luan Vinícius da Silva Santos"
"Atletico-GO","Amarelo","Léo Pereira"
"Atletico-GO","Amarelo","Willian Maranhão"
"Atletico-MG","Amarelo","Ignacio Fernández"
"Atletico-MG","Amarelo","Junior Alonso"
"Juventude","Amarelo","Jean Carlos de Souza Irmer"
"Cuiaba","Amarelo","André Luis"
"Avai","Amarelo","Bruno César Pereira da Silva"
"Goias","Amarelo","Yan Souto"
"Corinthians","Amarelo","Carlos Gilberto do Nascimento Silva"
"Goias","Amarelo","Lucas Halter"
"Corinthians","Amarelo","Fábio Santos"
"Corinthians","Amarelo","Lucas Piton"
"Ceara","Amarelo","David Ricardo Loiola da Silva"
"Fluminense","Amarelo","Cris Silva"
"Ceara","Vermelho","Cléber"
"Ceara","Amarelo","Cléber"
"Fluminense","Amarelo","Germán Cano"
"Botafogo-RJ","Amarelo","Luis Henrique"
"Cuiaba","Amarelo","Joaquim Henrique Pereira Silva"
"Sao Paulo","Amarelo","Rodrigo Nestor"
"Sao Paulo","Amarelo","Pablo Maia"
"Atletico-MG","Amarelo","Cristian Pavón"
"Atletico-MG","Amarelo","Jair Rodrigues Júnior"
"Sao Paulo","Amarelo","Welington"
"Atletico-MG","Amarelo","Éverson Felipe Marques Pires"
"Atletico-MG","Amarelo","Jemerson de Jesus Nascimento"
"Atletico-MG","Amarelo","Guga"
"Athletico-PR","Amarelo","Abner Vinícius"
"Goias","Amarelo","Yan Souto"
"Athletico-PR","Amarelo","Fernandinho"
"Atletico-GO","Amarelo","Diego Churín"
"Santos","Amarelo","Sandry Roberto"
"Atletico-GO","Amarelo","Jefferson"
"Atletico-GO","Amarelo","Gabriel Baralhas"
"Santos","Amarelo","Carlos Sánchez"
"Juventude","Amarelo","Thalisson Kelven"
"Coritiba","Amarelo","Régis"
"Coritiba","Amarelo","Alef Manga"
"Juventude","Amarelo","Jadson"
"Juventude","Amarelo","Capixaba"
"Coritiba","Amarelo","Léo Gamalho"
"Coritiba","Amarelo","Luciano Castán"
"Avai","Amarelo","Nonoca"
"Bragantino","Amarelo","Carlos Eduardo Ferreira de Souza"
"Avai","Amarelo","Bissoli"
"Corinthians","Amarelo","Roni"
"Palmeiras","Amarelo","José Rafael Vivian"
"Palmeiras","Amarelo","Danilo"
"Palmeiras","Amarelo","Gustavo Scarpa"
"Fortaleza","Amarelo","Cristian Chagas Tarouco"
"Sao Paulo","Vermelho","Rafinha"
"Fluminense","Amarelo","Nino"
"Sao Paulo","Amarelo","Rafinha"
"Santos","Amarelo","Luiz Felipe"
"Santos","Amarelo","Vinicius Zanocelo"
"Santos","Amarelo","Rodrigo Fernández"
"Bragantino","Amarelo","Werik Popó"
"Bragantino","Amarelo","Artur Victor Guimarães"
"Bragantino","Amarelo","Raul"
"America-MG","Amarelo","Alexandre Egea"
"Bragantino","Amarelo","Aderlan Silva"
"Bragantino","Amarelo","Luan Cândido"
"Bragantino","Amarelo","Kevin Lomónaco"
"America-MG","Amarelo","Ricardo Silva"
"Goias","Amarelo","Hugo"
"Goias","Amarelo","Auremir Evangelista dos Santos"
"Juventude","Amarelo","Vitor Gabriel"
"Juventude","Amarelo","Jean Carlos de Souza Irmer"
"Juventude","Amarelo","Paulo Miranda"
"Goias","Amarelo","Luan Dias"
"Goias","Amarelo","Diego"
"Juventude","Amarelo","Cesar"
"Juventude","Amarelo","Felipe Pires"
"Juventude","Amarelo","Onitlasi Júnior de Moraes Rodrigues"
"Corinthians","Amarelo","Fábio Santos"
"Corinthians","Amarelo","Fagner"
"Ceara","Amarelo","Zé Roberto"
"Ceara","Amarelo","Vinícius"
"Corinthians","Amarelo","Robert Renan"
"Corinthians","Amarelo","Du Queiroz"
"Ceara","Amarelo","Nino Paraíba"
"Ceara","Amarelo","Richard Candido Coelho"
"Athletico-PR","Amarelo","Fernandinho"
"Athletico-PR","Vermelho","Thiago Heleno"
"Atletico-GO","Vermelho","Luiz Fernando Moraes dos Santos"
"Fortaleza","Amarelo","Marcelo da Conceição Benevenuto Malaquias"
"Atletico-GO","Amarelo","Luiz Fernando Moraes dos Santos"
"Atletico-GO","Amarelo","Jefferson"
"Fortaleza","Amarelo","Juninho Capixaba"
"Atletico-GO","Amarelo","Léo Pereira"
"Atletico-GO","Amarelo","Edson"
"Atletico-GO","Amarelo","Willian Maranhão"
"Coritiba","Amarelo","Matías Galarza"
"Flamengo","Amarelo","Matheuzinho"
"Coritiba","Amarelo","Alef Manga"
"Coritiba","Amarelo","Régis"
"Flamengo","Amarelo","Mário Sérgio Santos Costa"
"Flamengo","Amarelo","João Gomes"
"Coritiba","Amarelo","Léo Gamalho"
"Coritiba","Amarelo","Matheus Cadorini"
"Cuiaba","Amarelo","André Luis"
"Cuiaba","Amarelo","Marllon Borges"
"Atletico-MG","Amarelo","Allan Rodrigues de Souza"
"Botafogo-RJ","Amarelo","João Victor Santos Sá"
"Botafogo-RJ","Amarelo","Lucas Perri"
"Botafogo-RJ","Amarelo","Fernando Marçal"
"Atletico-MG","Amarelo","Réver"
"Botafogo-RJ","Amarelo","Gabriel Appelt Pires"
"Botafogo-RJ","Amarelo","Patrick de Paula"
"Sao Paulo","Amarelo","André Anderson"
"Sao Paulo","Amarelo","Rodrigo Nestor"
"Internacional","Amarelo","Vitão"
"Internacional","Amarelo","Rodrigo Moledo"
"Sao Paulo","Amarelo","Patrick"
"Sao Paulo","Amarelo","Luizão"
"Internacional","Amarelo","Alexandre Alemão"
"Internacional","Amarelo","David Corrêa da Fonseca"
"Internacional","Amarelo","Alan Patrick"
"Goias","Vermelho","Fellipe Bastos"
"Fluminense","Amarelo","Samuel Xavier"
"Goias","Amarelo","Dada"
"Goias","Vermelho","Dada"
"Fluminense","Amarelo","Wellington Aparecido Martins"
"Fluminense","Amarelo","Paulo Henrique Ganso"
"Goias","Amarelo","Pedro Raúl"
"Coritiba","Amarelo","Bruno Gomes"
"Coritiba","Amarelo","Rafael Lucas Cardoso dos Santos"
"Corinthians","Amarelo","Yuri Alberto"
"Corinthians","Amarelo","Cássio Ramos"
"Corinthians","Amarelo","Róger Guedes"
"Corinthians","Vermelho","Bruno Méndez"
"Coritiba","Amarelo","Jhon Chancellor"
"Coritiba","Amarelo","Gabriel Vasconcellos Ferreira"
"Corinthians","Amarelo","Mateus Vital"
"Corinthians","Amarelo","Fausto Vera"
"Avai","Amarelo","Mateus Ferreira"
"Avai","Amarelo","Vitinho"
"Ceara","Amarelo","Erick"
"Ceara","Amarelo","Richardson Fernandes dos Santos"
"Ceara","Amarelo","Luiz Otávio"
"Avai","Amarelo","Marcio Antonio de Sousa Junior"
"Avai","Amarelo","Pablo Dyego"
"Ceara","Amarelo","David Ricardo Loiola da Silva"
"Ceara","Amarelo","Richard Candido Coelho"
"Bragantino","Amarelo","Jadsom"
"Bragantino","Amarelo","Werik Popó"
"Fortaleza","Amarelo","José Welison"
"Bragantino","Amarelo","Marcos Vinicios"
"Bragantino","Amarelo","Natan Bernardo de Souza"
"Atletico-GO","Amarelo","Gabriel Baralhas"
"Juventude","Amarelo","Paulo"
"Juventude","Amarelo","Jean Carlos de Souza Irmer"
"Juventude","Amarelo","Jadson"
"Juventude","Amarelo","Felipe Pires"
"Flamengo","Amarelo","Ayrton Lucas Dantas de Medeiros"
"Juventude","Amarelo","Chico"
"Juventude","Amarelo","Vitor Mendes"
"Juventude","Amarelo","Capixaba"
"Flamengo","Amarelo","Matheus Lima"
"Flamengo","Amarelo","João Gomes"
"Palmeiras","Amarelo","Gustavo Gómez"
"Palmeiras","Amarelo","José Rafael Vivian"
"America-MG","Amarelo","Juninho"
"Palmeiras","Amarelo","Mayke"
"Palmeiras","Amarelo","Marcos Rocha"
"America-MG","Amarelo","Martín Benítez"
"Cuiaba","Amarelo","Denilson"
"Cuiaba","Amarelo","Igor Aquino da Silva"
"Atletico-MG","Amarelo","Keno"
"Cuiaba","Amarelo","Alan Empereur"
"Cuiaba","Amarelo","Deyverson"
"Santos","Vermelho","Eduardo"
"Botafogo-RJ","Amarelo","Gabriel Appelt Pires"
"Santos","Amarelo","Rodrigo Fernández"
"Santos","Amarelo","Gabriel Carabajal"
"Botafogo-RJ","Amarelo","Hugo"
"Santos","Amarelo","Guilherme Camacho"
"Santos","Amarelo","Eduardo"
"Avai","Amarelo","Nonoca"
"Botafogo-RJ","Amarelo","Júnior Santos"
"Athletico-PR","Amarelo","Erick Luis Conrado Carvalho"
"Ceara","Amarelo","Cléber"
"Ceara","Amarelo","Richardson Fernandes dos Santos"
"Juventude","Amarelo","Guilherme Parede"
"Juventude","Amarelo","Pará"
"Ceara","Amarelo","Erick"
"Ceara","Amarelo","Marcos Victor"
"Juventude","Amarelo","Lucas Pereira Ramires Constante"
"Juventude","Amarelo","Onitlasi Júnior de Moraes Rodrigues"
"America-MG","Amarelo","Everaldo"
"Atletico-GO","Amarelo","Edson"
"Atletico-GO","Vermelho","Willian Maranhão"
"America-MG","Amarelo","Airton"
"America-MG","Amarelo","Alexandre Egea"
"Atletico-GO","Amarelo","Jorginho"
"Santos","Amarelo","Rodrigo Fernández"
"Fortaleza","Amarelo","Cristian Chagas Tarouco"
"Fortaleza","Amarelo","Caio Alexandre"
"Fortaleza","Amarelo","José Welison"
"Coritiba","Vermelho","Alef Manga"
"Cuiaba","Amarelo","André Luis"
"Coritiba","Amarelo","Alef Manga"
"Coritiba","Amarelo","Fabrício Daniel de Souza"
"Coritiba","Amarelo","Willian Farias"
"Coritiba","Amarelo","Jesús Trindade"
"Bragantino","Amarelo","Aderlan Silva"
"Fluminense","Amarelo","Yago Rocha"
"Bragantino","Amarelo","Ramon Ramos Lima"
"Bragantino","Amarelo","Alerrandro Barra Mansa Realino de Souza"
"Fluminense","Amarelo","André Trindade"
"Corinthians","Amarelo","Róger Guedes"
"Corinthians","Amarelo","Fábio Santos"
"Atletico-MG","Amarelo","Ignacio Fernández"
"Atletico-MG","Amarelo","Éverson Felipe Marques Pires"
"Atletico-MG","Amarelo","Matías Zaracho"
"Corinthians","Amarelo","Maycon de Andrade Barberan"
"Atletico-MG","Amarelo","Eduardo Vargas"
"Atletico-MG","Amarelo","Allan Rodrigues de Souza"
"Atletico-MG","Amarelo","Jemerson de Jesus Nascimento"
"Internacional","Amarelo","Alexandre Alemão"
"Palmeiras","Amarelo","Endrick"
"Internacional","Amarelo","Lucas Ramos"
"Palmeiras","Amarelo","José Manuel Alberto López"
"Palmeiras","Amarelo","Eduard Atuesta"
"Goias","Amarelo","Auremir Evangelista dos Santos"
"Sao Paulo","Amarelo","Giuliano Galoppo"
"Goias","Amarelo","Magno Jose da Silva"
"Palmeiras","Amarelo","José Manuel Alberto López"
"Cuiaba","Amarelo","Mateusinho"
"Cuiaba","Amarelo","Deyverson"
"Cuiaba","Vermelho","Filipe Augusto Carvalho Souza"
"Palmeiras","Amarelo","Jhonatan dos Santos Rosa"
"Cuiaba","Amarelo","Filipe Augusto Carvalho Souza"
"Cuiaba","Amarelo","Jonathan Cafú"
"America-MG","Amarelo","Éder"
"Fluminense","Amarelo","John Kennedy"
"America-MG","Amarelo","Nino Paraíba"
"America-MG","Amarelo","Iago Maidana"
"Fluminense","Amarelo","Vitor Mendes"
"Bragantino","Amarelo","Juninho Capixaba"
"Bahia","Amarelo","Vítor Jacaré"
"Bragantino","Amarelo","Lucão"
"Bragantino","Amarelo","Jadsom"
"Athletico-PR","Amarelo","Pedro Henrique Ribeiro Gonçalves"
"Goias","Amarelo","Bruno Melo"
"Athletico-PR","Amarelo","Pablo Felipe Teixeira"
"Goias","Amarelo","Jhonny Lucas"
"Goias","Amarelo","Sidimar Fernando Sigolini"
"Fortaleza","Amarelo","Emanuel Brítez"
"Internacional","Amarelo","Rodrigo Moledo"
"Fortaleza","Amarelo","Guilherme"
"Botafogo-RJ","Amarelo","Víctor Cuesta"
"Botafogo-RJ","Amarelo","Leonel Di Plácido"
"Sao Paulo","Amarelo","Jhegson Méndez"
"Botafogo-RJ","Amarelo","Carlos Eduardo de Oliveira Alves"
"Sao Paulo","Amarelo","Jonathan Calleri"
"Atletico-MG","Amarelo","Hulk"
"Atletico-MG","Amarelo","Otávio Henrique Passos Santos"
"Atletico-MG","Amarelo","Cristian Pavón"
"Vasco","Amarelo","Gabriel Pec"
"Vasco","Amarelo","Pedro Raul"
"Atletico-MG","Amarelo","Mauricio Lemos"
"Atletico-MG","Amarelo","Matías Zaracho"
"Atletico-MG","Amarelo","Renzo Saravia"
"Vasco","Amarelo","Rodrigo Alves de Holanda Santos"
"Vasco","Amarelo","Robson Bambu"
"Vasco","Amarelo","Andrey Santos"
"Flamengo","Amarelo","Mário Sérgio Santos Costa"
"Flamengo","Amarelo","Gabriel Barbosa"
"Coritiba","Amarelo","William Pottker"
"Flamengo","Amarelo","Fabrício Bruno"
"Coritiba","Amarelo","Zé Roberto"
"Coritiba","Amarelo","Júnior Urso"
"Cruzeiro","Amarelo","Oliveira"
"Corinthians","Amarelo","Róger Guedes"
"Corinthians","Amarelo","Roni"
"Cruzeiro","Amarelo","Nikão"
"Corinthians","Amarelo","Fagner"
"Corinthians","Amarelo","Fausto Vera"
"Santos","Vermelho","Yeferson Soteldo"
"Gremio","Amarelo","Darlan Mendes"
"Gremio","Amarelo","Vina"
"Santos","Amarelo","Douglas Moreira"
"Gremio","Amarelo","Walter Kannemann"
"Santos","Amarelo","Yeferson Soteldo"
"Santos","Amarelo","Guilherme Camacho"
"Fluminense","Amarelo","Thiago dos Santos"
"Fluminense","Amarelo","Samuel Xavier"
"Athletico-PR","Amarelo","Erick Luis Conrado Carvalho"
"Fluminense","Amarelo","Keno"
"Athletico-PR","Amarelo","Pedro Henrique Azevedo Pereira"
"Athletico-PR","Amarelo","Pablo Felipe Teixeira"
"Cuiaba","Amarelo","Marllon Borges"
"Cuiaba","Amarelo","Pablo Cepellini"
"Bragantino","Amarelo","Juninho Capixaba"
"Cuiaba","Amarelo","Denilson"
"Bragantino","Amarelo","Thiago Borbas"
"Bragantino","Amarelo","Henry Mosquera"
