"clube","cartao","atleta"
"Fluminense","Amarelo","Francisco Souza dos Santos"
"Athletico-PR","Amarelo","Léo Pereira"
"Athletico-PR","Amarelo","Deivid Willian da Silva"
"Sao Paulo","Amarelo","Osvaldo Filho"
"Figueirense","Amarelo","Luan José Niedzielski"
"Bahia","Amarelo","Guilherme Oliveira Santos"
"Bahia","Amarelo","Henrique Almeida"
"Santos","Amarelo","Alan Santos da Silva"
"Bahia","Amarelo","Fahel"
"Bahia","Amarelo","Cristian Chagas Tarouco"
"Santos","Amarelo","Neuciano Gusmão"
"Coritiba","Amarelo","Germano Borovicz Cardoso Schweger"
"Coritiba","Amarelo","Reginaldo"
"Goias","Amarelo","Lucas Pedro de Lima"
"Coritiba","Amarelo","Vanderlei Farias da Silva"
"Coritiba","Amarelo","José Gildeixon Clemente de Paiva"
"Goias","Amarelo","Alex Alves Cardoso"
"Sao Paulo","Amarelo","Reinaldo Manoel da Silva"
"Sao Paulo","Amarelo","Denílson Pereira Neves"
"Atletico-MG","Amarelo","Lucas Pierre Santos Oliveira"
"Sao Paulo","Amarelo","Lucas Cavalcante Silva Afonso"
"Atletico-MG","Amarelo","Emerson da Conceição"
"Vitoria","Amarelo","Joseilson Batista dos Santos"
"Vitoria","Amarelo","Danilo Tarracha"
"Sport","Amarelo","Érico Júnior"
"Vitoria","Amarelo","Euller"
"Vitoria","Amarelo","Vinícius Santos Silva"
"Sport","Amarelo","Durval"
"Sport","Amarelo","Rodrigo Mancha"
"Gremio","Amarelo","Ramiro Moschen Benetti"
"Gremio","Amarelo","Werley Ananias da Silva"
"Palmeiras","Amarelo","Renato Júnior"
"Palmeiras","Amarelo","Marcelo Oliveira Ferreira"
"Gremio","Amarelo","Maximiliano Rodríguez Maeso"
"Palmeiras","Amarelo","Marquinhos"
"Palmeiras","Amarelo","Lucimar da Silva Ferreira"
"Palmeiras","Amarelo","Henrique Dourado"
"Chapecoense","Amarelo","José Carlos Tofolo Júnior"
